"id_text","id_reply","moral","focusPolo","reply","polo_reply","conversation"
"1030801137799192577","1030967443571847168","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1031225284316545024","1031281812197265410","nessuna morale/off-topic",,"care/harm","valore proibitivo","stesso argomento"
"1031455819928350721","1031503263605043201","nessuna morale/off-topic",,,"valore proibitivo","attacca"
"1031476603359055873","1031625567240642560","loyalty/betrayal","valore proibitivo",,"valore proibitivo","attacca"
"1031926805450633217","1031928650172719104","authority/subversion","valore proibitivo","nessuna morale/off-topic",,"stesso argomento"
"1031980778211692544","1032035962124226560","purity/degradation","valore proibitivo","purity/degradation","valore proibitivo","attacca"
"1032249897192509440","1032251721437863936","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1032254345755209728","1032257545409323009","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1032553720490409985","1032559919386566656","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1032946207382024193","1033066203768664064","loyalty/betrayal","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1033332360933253121","1033349472137433088","purity/degradation","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1033430544380579841","1033460967248744448","authority/subversion","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1033454415120945152","1033475756029108224","purity/degradation","valore proibitivo","nessuna morale/off-topic",,"supporta"
"1033502530016301056","1033509384633180163","fairness/cheating","valore proibitivo","fairness/cheating","valore prescrittivo","stesso argomento"
"1033665184072691712","1033957625925386240","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1033686401173413888","1033998047989194754","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","nessuna"
"1034102509013528576","1034109090581098501","nessuna morale/off-topic",,"nessuna morale/off-topic",,
"1034132576523481088","1034789762362691584","nessuna morale/off-topic",,,,"stesso argomento"
"1034430045211779073","1034489304066809857","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","nessuna"
"1034461239114649601","1034753898463068161","loyalty/betrayal","valore proibitivo","nessuna morale/off-topic",,"attacca"
"1034474583502594050","1034479065758138368","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1034487170600460288","1034504128242884608","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1034493979864297472","1034536427294478337","care/harm","valore prescrittivo",,,"stesso argomento"
"1034760705252175872","1034784343342936064","authority/subversion","valore prescrittivo","purity/degradation","valore proibitivo","attacca"
"1035415304745222144","1035619982208638978","authority/subversion","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1035497392471195649","1035819575127011328","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1035613002404429824","1035613661933518849","purity/degradation","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1035627890099007488","1035640481831636992","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","stesso argomento"
"1035849204269244416","1035919912152313858","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1035997619968008192","1036026559369564162","purity/degradation","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1037216351407013895","1037247429781929984",,,,"valore proibitivo","stesso argomento"
"1037222015336374273","1037247828198940672","loyalty/betrayal","valore prescrittivo","fairness/cheating","valore proibitivo","stesso argomento"
"1037342848830660610","1037343234865946625",,,"fairness/cheating","valore proibitivo","stesso argomento"
"1038296528169959424","1038356914923552768","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1038374846495907840","1038457234198593536","care/harm","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1038420753040007169","1038421987138445313","nessuna morale/off-topic",,"authority/subversion","valore proibitivo","attacca"
"1038445197598892033","1038457835841970177","fairness/cheating","valore proibitivo",,,"stesso argomento"
"1039408775390785536","1039599295891156993","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","attacca"
"1039451875177885696","1039477144353685504","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1039636686181941251","1039639875287494656","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo",
"1039762718012649472","1039771903257444352","authority/subversion","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1039873801360756737","1039890989933047808","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1040191165755285504","1040314448714649600","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1040620774254669824","1040622199927959552","nessuna morale/off-topic",,"care/harm","valore proibitivo","attacca"
"1040712057316958208","1040745992570789888","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1041677494515113984","1041917340936495104","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo",
"1042143729929338880","1042171313996091392",,"valore proibitivo","care/harm","valore proibitivo","stesso argomento"
"1042354634801770496","1042354926620434433","purity/degradation","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1043502695359963136","1043758938859147265","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1043860020100845570","1043870139060572161","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1043974439870828544","1043977170090184709","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1043984834484408320","1043987532311089152","fairness/cheating","valore prescrittivo","fairness/cheating","valore prescrittivo","attacca"
"1043989904408170498","1043990587320545280","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1043992218560794624","1043994866760511488","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo",
"1043997747047800832","1043999470084591617",,"valore proibitivo",,"valore proibitivo","stesso argomento"
"1044553738751553536","1044555273178951685",,"valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1044692413263032322","1044694026182676480","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1045299533922652160","1045300728129093633","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1045375740890566657","1045382282788438016","fairness/cheating","valore proibitivo","nessuna morale/off-topic",,"supporta"
"1047945696639430656","1048071190777085952","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1048143786235371520","1048491459790491649","care/harm","valore prescrittivo","care/harm","valore prescrittivo","supporta"
"1048929729720594432","1048985966315274242",,"valore proibitivo","purity/degradation","valore proibitivo",
"1048965141616889856","1048992871209164801","loyalty/betrayal","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1049375871423926272","1049400610590810112","loyalty/betrayal","valore proibitivo",,,"attacca"
"1049647573416464385","1049704708749873154","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1050255738826907648","1050347327200915456","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo",
"1050699335757963264","1051061929391874048","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo",
"1050699651979116549","1051061836802650112","purity/degradation","valore proibitivo","purity/degradation","valore proibitivo","stesso argomento"
"1050699885186560001","1051061768108290050","purity/degradation","valore prescrittivo",,"valore proibitivo","attacca"
"1050700168880971776","1051061710273032193","nessuna morale/off-topic",,,"valore proibitivo","stesso argomento"
"1050700606992723968","1051248768937590785",,"valore proibitivo","care/harm","valore proibitivo","stesso argomento"
"1050791364374552576","1051061622041706496","purity/degradation","valore proibitivo",,"valore proibitivo",
"1050791670298611712","1051061416189407232","purity/degradation","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1051077026323582976","1051125332907048962","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1051150514652635136","1051467172319510528",,,"fairness/cheating","valore proibitivo","stesso argomento"
"1051170533792985088","1051184112923496448","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","stesso argomento"
"1051196376292450305","1051211387077316609",,"valore proibitivo","nessuna morale/off-topic",,"nessuna"
"1051214863639425025","1051228278823014400","care/harm","valore proibitivo","nessuna morale/off-topic",,"nessuna"
"1051766526641139712","1051805769669242880","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","attacca"
"1052058255256690693","1052108333174480896","loyalty/betrayal","valore prescrittivo","purity/degradation","valore proibitivo","attacca"
"1052136091661344768","1052217155587072000","care/harm","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1052170975368962049","1052282335155109890","purity/degradation","valore proibitivo","purity/degradation","valore proibitivo","supporta"
"1052242171519217664","1052243523179880449",,"valore proibitivo",,"valore proibitivo","attacca"
"1052500287066398720","1052517002735042561",,"valore proibitivo","care/harm","valore prescrittivo",
"1052922918504673280","1052952695412350979","fairness/cheating","valore proibitivo","fairness/cheating","valore prescrittivo","attacca"
"1053018480453308417","1053041828881227778","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo",
"1053030235967578112","1053068554193518594","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1053215881814261761","1053217767397212162","loyalty/betrayal","valore proibitivo","loyalty/betrayal","valore proibitivo",
"1053328138619510784","1053342869862387715","nessuna morale/off-topic",,"authority/subversion","valore prescrittivo","stesso argomento"
"1053392767676809216","1053395096652210176","care/harm","valore prescrittivo","loyalty/betrayal","valore prescrittivo","attacca"
"1053910830511734784","1053942813723901954","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1054090061887823875","1054265975821029376","care/harm","valore prescrittivo","loyalty/betrayal","valore proibitivo","attacca"
"1054292084008632322","1054505667162202113",,"valore proibitivo",,"valore proibitivo",
"1054400000178962432","1054451173636390914","fairness/cheating","valore proibitivo","care/harm","valore proibitivo","attacca"
"1055067065437036544","1055068629337825282","purity/degradation","valore proibitivo","loyalty/betrayal","valore prescrittivo","stesso argomento"
"1056469415963910144","1056475568399679489",,"valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1058272595861295104","1058377103954141189","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","nessuna"
"1058292891200733184","1058314428528189440","loyalty/betrayal","valore proibitivo","care/harm","valore proibitivo","attacca"
"1058751798046023680","1059274301562609665","care/harm","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1059445564268560385","1059494840172470274","purity/degradation","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1059536279979913216","1059537001052028928",,,"nessuna morale/off-topic",,"nessuna"
"1059826343041527808","1059899257585631233","care/harm","valore prescrittivo","fairness/cheating","valore proibitivo","stesso argomento"
"1059879372125917184","1059922465051340800","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","stesso argomento"
"1060165553233518593","1060458635145424896","purity/degradation","valore proibitivo","purity/degradation","valore proibitivo","supporta"
"1060504002192924672","1060506223483719683","purity/degradation","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1060571902048169984","1060593406274125824","purity/degradation","valore proibitivo","purity/degradation","valore proibitivo","supporta"
"1061233726095540224","1061240171943903232","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","nessuna"
"1062291464040992769","1062383088557285376","loyalty/betrayal","valore proibitivo","care/harm","valore proibitivo","attacca"
"1062298165238489088","1062298746380279809","fairness/cheating","valore proibitivo","care/harm","valore prescrittivo","attacca"
"1063850898412187648","1063899075106562048","authority/subversion","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1063871262198509569","1063900836655316992","authority/subversion","valore proibitivo","loyalty/betrayal","valore proibitivo","nessuna"
"1063871287800537088","1063873432000053248","authority/subversion","valore prescrittivo","nessuna morale/off-topic",,"attacca"
"1064802149362737152","1064811016607936512","nessuna morale/off-topic",,"nessuna morale/off-topic",,"attacca"
"1064962401743896576","1064980207206055936","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1065371100387921920","1065573462054510593",,"valore proibitivo",,"valore proibitivo","attacca"
"1065998082221973506","1066112188216209408","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1066075270355013633","1066444923644375046","loyalty/betrayal","valore prescrittivo",,"valore proibitivo",
"1066426837914521600","1067034814778433539","purity/degradation","valore proibitivo",,"valore proibitivo","supporta"
"1066651025946394624","1066830077881720832","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1067757109130002433","1068236542341206016","authority/subversion","valore proibitivo",,,"attacca"
"1068113347135066112","1068136638319132672","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","attacca"
"1068159762871791616","1068236515548045318","fairness/cheating","valore proibitivo","nessuna morale/off-topic",,"nessuna"
"1068399279855800322","1068426301931954176","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1068443469092392960","1068792690630893568","fairness/cheating","valore proibitivo","nessuna morale/off-topic",,"attacca"
"1068538339861676032","1068896891025408000","authority/subversion","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1068901335834259456","1068913174106251264",,"valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1069145907579494400","1069170297696325632","purity/degradation","valore proibitivo",,"valore proibitivo",
"1069498924443021312","1069529357906051072","nessuna morale/off-topic",,,"valore proibitivo","attacca"
"1069501755132731393","1069502601950056449","fairness/cheating","valore proibitivo","care/harm","valore proibitivo","supporta"
"1069528579644497920","1069554791657943040","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1069547620501204994","1069551725453955072","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1069560618104045568","1069866439979470849","fairness/cheating","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1069919358850351107","1069922495778775040","loyalty/betrayal","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1070343379190452224","1071779922975383552","fairness/cheating","valore proibitivo","purity/degradation","valore proibitivo","supporta"
"1071329070846222336","1071330933440200704","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","attacca"
"1071487065278291968","1072048641265860613","nessuna morale/off-topic",,"loyalty/betrayal","valore proibitivo","attacca"
"1071524704853352448","1071569588108886017","loyalty/betrayal","valore proibitivo","loyalty/betrayal","valore proibitivo","supporta"
"1071827824829452289","1072121115496120320","authority/subversion","valore prescrittivo","fairness/cheating","valore proibitivo","stesso argomento"
"1072204048357580800","1072212194903891973","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1072753799624830977","1072777339044577280","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1072768586601644032","1072975651043459073",,,,"valore proibitivo","stesso argomento"
"1072897280909434885","1072950531893661696","nessuna morale/off-topic",,,"valore proibitivo","stesso argomento"
"1073143106931965952","1073147433746612224","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1073514694068056064","1073516591734816768","fairness/cheating","valore proibitivo","loyalty/betrayal","valore proibitivo","nessuna"
"1073624654319968256","1073654697091837958","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1073921335645093889","1074269125034344448","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1074287525664047105","1074293229875617792","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1074986410078220288","1075385561337204736","care/harm","valore proibitivo","care/harm","valore proibitivo","supporta"
"1075086579276963840","1075528377325535232","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1075407970207522817","1075909045289136128","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1075521653805862912","1075538727148101634","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","supporta"
"1076156359366848513","1076508261761908737","nessuna morale/off-topic",,"nessuna morale/off-topic",,"nessuna"
"1076433233951293440","1076885347462717440","authority/subversion","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1076539111132094465","1076546863464136705","loyalty/betrayal","valore proibitivo",,"valore proibitivo",
"1076550039181410304","1076756651766697986","fairness/cheating","valore proibitivo","purity/degradation","valore proibitivo","stesso argomento"
"1076588034018033664","1077216701547200512","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1076938888600535040","1077091470119718912","care/harm","valore prescrittivo","purity/degradation","valore proibitivo","attacca"
"1077128992078086144","1077254498878451714","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","nessuna"
"1077281618262401024","1077579259739324417","purity/degradation","valore proibitivo","purity/degradation","valore proibitivo","attacca"
"1077325827166126080","1077508320876003329","care/harm","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1077334454585176064","1077713075699097600","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","attacca"
"1078018718519738369","1078049181288284163","fairness/cheating","valore proibitivo",,"valore proibitivo","supporta"
"1078214783567056896","1078262981962747904","fairness/cheating",,"fairness/cheating","valore proibitivo","attacca"
"1078625569967878145","1078626075742224384","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1078634944174477315","1078659654748721154","nessuna morale/off-topic",,"nessuna morale/off-topic",,"stesso argomento"
"1079101083308314624","1079133643963068418","fairness/cheating","valore proibitivo","authority/subversion","valore prescrittivo","attacca"
"1079827204840849409","1079894664822566913","care/harm","valore prescrittivo","care/harm","valore prescrittivo","supporta"
"1080384846697033728","1080392466967261184","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","nessuna"
"1080439513757945856","1082554231796756483","purity/degradation","valore proibitivo","care/harm","valore prescrittivo","attacca"
"1080580501084274689","1080599120107261952","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","attacca"
"1080769317090836480","1081176606545195008","loyalty/betrayal","valore prescrittivo","purity/degradation","valore proibitivo","attacca"
"1080800810924167169","1080807147313811456","loyalty/betrayal","valore prescrittivo","care/harm","valore prescrittivo","attacca"
"1080822931918340096","1080941834334031872","nessuna morale/off-topic",,"purity/degradation","valore proibitivo","attacca"
"1080830629917409280","1081247029253341185","nessuna morale/off-topic",,,,"stesso argomento"
"1080897822621425664","1081449972225191938",,"valore proibitivo","purity/degradation","valore prescrittivo","attacca"
"1080949197535203328","1080981045284098048","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1081162687709671424","1081193624371716104","authority/subversion","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1081256881123938304","1081272489072910336","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1081257365201133573","1081274102550278145",,,,"valore proibitivo","stesso argomento"
"1081489008071528448","1081665916876804096","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1081491828845801472","1081633125665370112","purity/degradation","valore proibitivo",,"valore proibitivo","supporta"
"1081497178647027712","1081527897008099328","loyalty/betrayal","valore prescrittivo","purity/degradation","valore proibitivo","attacca"
"1081526745470287872","1081528115254517760","fairness/cheating","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1081583106468077573","1081584115806363654","care/harm","valore proibitivo",,"valore proibitivo","stesso argomento"
"1082162380635860993","1082199756854755329","nessuna morale/off-topic",,"loyalty/betrayal","valore proibitivo","stesso argomento"
"1082316627323113472","1082622386854379522","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1082582436251426816","1082618423438462978","loyalty/betrayal","valore prescrittivo","nessuna morale/off-topic",,"stesso argomento"
"1082696053319704577","1082708415514886149","nessuna morale/off-topic",,"fairness/cheating","valore proibitivo","stesso argomento"
"1082767462746214400","1082768215959314433","loyalty/betrayal","valore prescrittivo",,"valore proibitivo","attacca"
"1082984963270758400","1082985424560275457",,"valore prescrittivo","loyalty/betrayal","valore proibitivo","attacca"
"1083045720884690944","1083089659452973058","fairness/cheating","valore proibitivo","authority/subversion","valore proibitivo",
"1083385448309972992","1083418695806971905","authority/subversion","valore prescrittivo","fairness/cheating","valore proibitivo","attacca"
"1083414416761200641","1083415458940940288","nessuna morale/off-topic",,"loyalty/betrayal","valore prescrittivo","stesso argomento"
"1083429287355650050","1083624092794847233","nessuna morale/off-topic",,,"valore proibitivo","attacca"
"1083458456240025600","1083462575885635584",,"valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1083497272384598017","1083639674244087809","nessuna morale/off-topic",,"nessuna morale/off-topic",,"nessuna"
"1083791279761309697","1083799576954486784","authority/subversion","valore proibitivo",,"valore proibitivo","attacca"
"1083801505520644097","1084209670259175425","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1083843826589097984","1083845930812620800","nessuna morale/off-topic",,,"valore prescrittivo",
"1083872704674050050","1083875710954102784","loyalty/betrayal","valore proibitivo","care/harm","valore proibitivo","attacca"
"1084018044282826752","1084353090092969984","fairness/cheating","valore proibitivo","care/harm","valore prescrittivo","attacca"
"1084024770709065734","1084026339961778181","loyalty/betrayal","valore proibitivo",,"valore proibitivo","attacca"
"1084092817016844288","1084367725202419712","loyalty/betrayal","valore proibitivo","fairness/cheating","valore proibitivo",
"1084114975294177280","1084130290317041666","authority/subversion","valore proibitivo","fairness/cheating","valore proibitivo","stesso argomento"
"1084424134346637312","1084707800855515137",,"valore proibitivo",,"valore proibitivo","supporta"
"1084749878796914688","1084830426789752832","care/harm","valore prescrittivo",,,"attacca"
"1085286657493004289","1085862135002001408","fairness/cheating","valore prescrittivo","loyalty/betrayal","valore proibitivo","stesso argomento"
"1085782550050529284","1085829664793337856",,"valore proibitivo","loyalty/betrayal",,"stesso argomento"
"1085896375080910848","1085903272907546624","care/harm","valore proibitivo","care/harm","valore proibitivo","stesso argomento"
"1086339427243343874","1086343803148079105",,"valore proibitivo",,"valore proibitivo","supporta"
"1086618344063672322","1086633892860313604",,"valore proibitivo","care/harm","valore prescrittivo","supporta"
"1086911010747924480","1086919397380362240","authority/subversion","valore proibitivo","fairness/cheating","valore proibitivo","attacca"
"1086919012435533825","1086930630997409793","fairness/cheating","valore proibitivo","fairness/cheating","valore prescrittivo","stesso argomento"
"1086976183961636864","1086977798332403712","care/harm","valore proibitivo","loyalty/betrayal","valore proibitivo","attacca"
"1087068627734618112","1087083855973097477","care/harm","valore prescrittivo",,"valore proibitivo","nessuna"
"1087093348752605184","1087093851226025986",,"valore proibitivo","care/harm","valore prescrittivo","attacca"
"1087123339607453697","1087238733781450752","loyalty/betrayal","valore proibitivo",,,"stesso argomento"
"1087261931172433921","1087262182365188097","purity/degradation","valore prescrittivo",,"valore proibitivo","stesso argomento"
"1087268469425475584","1087269154174967808","nessuna morale/off-topic",,,"valore prescrittivo","stesso argomento"
"1087277194337026048","1087277839857172480","nessuna morale/off-topic",,,"valore proibitivo","stesso argomento"
"1087282228051234817","1087284100732542976","nessuna morale/off-topic",,,"valore proibitivo","nessuna"
